,49,191,164,233,198,167,222,248,242,227,249,273,261,252,166,283,205,218,189,183,243,240,181,247,267,259,229,160,165,184,195,159,269,169,204,219,154,179,245,238,199,163,212,255,234,75,284,150,223,281,162,77,250,175,230,180,262,279,83,231,232,182
227,0.1402479,0.18536243,0.1926338,0.15563205,0.23331858,0.14429656,0.12978862,0.24506995,0.19265893,3.5435496e-06,0.18516399,0.20905332,0.25925124,0.21602347,0.5703037,0.27375627,0.22934884,0.17215015,0.30830234,0.2209358,0.6940612,0.2632123,0.23711629,0.28483117,0.3378562,0.11407331,0.19170506,0.19202818,0.39673775,0.264372,0.4434443,0.20330246,0.1352618,0.13727002,0.18712777,0.14984286,0.21258785,0.3196894,0.25194186,0.47915265,0.17661309,0.25733256,0.25673017,0.1839579,0.380987,0.28247243,0.29926017,0.30346185,0.19084817,0.28716218,0.5846609,0.25585073,0.20671393,0.5025929,0.17812522,0.22931083,0.48582193,0.5036975,0.280499,0.2309531,0.27837062,0.3515053
249,0.19620119,0.12683974,0.13039811,0.15773788,0.1298466,0.16952728,0.14252028,0.20071277,0.15643129,0.18516399,2.577127e-06,0.2054534,0.18794955,0.16529499,0.51979494,0.15435734,0.21253309,0.17849213,0.28524512,0.19584844,0.8843666,0.18219772,0.19694404,0.27658886,0.1664795,0.17492023,0.15549932,0.15614618,0.40384158,0.2515701,0.57848835,0.16637707,0.1906333,0.10757701,0.12876357,0.15209495,0.14982997,0.30885354,0.22636485,0.29252774,0.19780996,0.20532744,0.25507984,0.1586592,0.271942,0.3999031,0.18292415,0.23190115,0.14918537,0.31479993,0.55043054,0.31625277,0.12418917,0.4119457,0.1479142,0.2268123,0.3947192,0.4710102,0.22171797,0.19930565,0.26893672,0.31890562
273,0.18378007,0.18977319,0.15821627,0.21585597,0.21582536,0.19938587,0.10091642,0.14890704,0.22077474,0.20905332,0.2054534,5.476395e-06,0.15272957,0.17014901,0.44565096,0.17720744,0.18369955,0.11376179,0.32676876,0.23880722,0.7734016,0.33642396,0.089109644,0.32377928,0.26000118,0.17715879,0.14174971,0.23786527,0.41992867,0.13649206,0.5012357,0.26389265,0.1378924,0.11340325,0.22934014,0.22962297,0.23811913,0.39694875,0.26085678,0.45934227,0.21235043,0.3195515,0.26097825,0.120806694,0.35303515,0.40752688,0.22626047,0.27312908,0.19577917,0.33155864,0.570785,0.110281706,0.14335912,0.47844458,0.2176229,0.31756002,0.4508062,0.48962772,0.28151634,0.32217565,0.19323781,0.3783973
261,0.24334328,0.189558,0.20993856,0.21444306,0.18079448,0.25335896,0.10590897,0.24534957,0.19315308,0.25925124,0.18794955,0.15272957,2.8992679e-06,0.2507071,0.3761452,0.1027159,0.1721115,0.13157296,0.3091222,0.24376336,0.8600008,0.23880303,0.1577846,0.30364,0.22076958,0.23014872,0.115676925,0.25354066,0.4159293,0.07035074,0.56303847,0.20501818,0.19223209,0.14742519,0.2555859,0.23312464,0.19390754,0.3301783,0.24773729,0.40482736,0.27172744,0.29184738,0.26991734,0.13054436,0.30806172,0.37926483,0.27876976,0.36142465,0.1516504,0.38981396,0.4241313,0.14414902,0.12255656,0.4092278,0.24355976,0.33883712,0.35528755,0.3743889,0.3101218,0.29843646,0.14950268,0.3726432
252,0.21195742,0.20389391,0.15069428,0.23281765,0.16298008,0.1539102,0.17824602,0.13554335,0.18294476,0.21602347,0.16529499,0.17014901,0.2507071,3.2214086e-06,0.54919094,0.18221995,0.19206232,0.18338835,0.23817228,0.22947383,0.80300504,0.22175533,0.18495879,0.39169946,0.20853595,0.21200928,0.16850641,0.15650086,0.4414245,0.27364707,0.61288494,0.2492523,0.18196449,0.13882951,0.1852864,0.22414626,0.22445455,0.31717893,0.2651912,0.38974535,0.20287111,0.2889755,0.23827343,0.19991353,0.40389702,0.46436188,0.23029143,0.17915542,0.20277415,0.3353931,0.62633336,0.29403022,0.16521639,0.49619487,0.19603528,0.28145674,0.42358336,0.57238895,0.3516506,0.2890364,0.30205506,0.3048693
166,0.52284753,0.4939502,0.53828776,0.49913022,0.55788517,0.56705135,0.44496965,0.5575083,0.49927324,0.5703037,0.51979494,0.44565096,0.3761452,0.54919094,3.2214086e-06,0.45808464,0.4559569,0.48883137,0.63705194,0.35517997,0.84897906,0.58945656,0.4730468,0.5819829,0.47893748,0.49541885,0.45948693,0.6049374,0.38133296,0.42782113,0.5119901,0.5130918,0.5522387,0.4547766,0.50458956,0.53696954,0.54867905,0.70631933,0.49499974,0.70736754,0.5533388,0.56171834,0.51700777,0.46576673,0.38646016,0.6682861,0.51052177,0.66536653,0.46445143,0.6679604,0.24267387,0.44923383,0.4504747,0.29651874,0.5417353,0.60857886,0.36763522,0.27702698,0.5421122,0.66992736,0.22760542,0.60565704
283,0.25132334,0.19774328,0.19826353,0.24199125,0.13259704,0.22600599,0.16083205,0.18994005,0.17355146,0.27375627,0.15435734,0.17720744,0.1027159,0.18221995,0.45808464,2.8992679e-06,0.18996195,0.18424621,0.2397904,0.2627175,0.8506938,0.19087072,0.19452122,0.35192987,0.12828036,0.257685,0.14578164,0.21203151,0.45952332,0.18001553,0.6052547,0.22574279,0.19750586,0.16152175,0.25146896,0.23334756,0.23972596,0.3524788,0.23908296,0.31944486,0.22930953,0.2669781,0.25933176,0.17035003,0.325495,0.44470355,0.26094958,0.24857453,0.17428176,0.38126144,0.5127455,0.21248959,0.14578871,0.4161435,0.24150257,0.32651585,0.3657394,0.47664157,0.33749992,0.3177923,0.23834945,0.3385797
205,0.18525515,0.14966086,0.12781616,0.19349681,0.22073609,0.159068,0.16194183,0.18688294,0.18138915,0.22934884,0.21253309,0.18369955,0.1721115,0.19206232,0.4559569,0.18996195,1.2885635e-06,0.14540085,0.3174956,0.19793624,0.93527484,0.2690585,0.112613685,0.38055274,0.2765386,0.1807848,0.11701123,0.19530918,0.33221358,0.14378597,0.56349075,0.22929955,0.1587027,0.16394457,0.20568727,0.1920591,0.20824282,0.34462148,0.28067037,0.5076029,0.23617952,0.26107293,0.2087257,0.15557182,0.37412056,0.37945426,0.21954094,0.35451216,0.1059196,0.46126577,0.49453261,0.24642198,0.15458058,0.46376172,0.20019831,0.19602014,0.42631736,0.41168734,0.31135496,0.29208705,0.23189181,0.30976453
218,0.15535985,0.14115697,0.1401548,0.1723937,0.21481706,0.1461624,0.07542091,0.19900155,0.18900971,0.17215015,0.17849213,0.11376179,0.13157296,0.18338835,0.48883137,0.18424621,0.14540085,2.577127e-06,0.31166065,0.17354566,0.9155008,0.26106426,0.09997255,0.32841134,0.28671342,0.12272698,0.1019927,0.17684922,0.38337952,0.09543939,0.5607719,0.22561845,0.12865502,0.071690194,0.1670964,0.1697866,0.16632456,0.26330668,0.21011639,0.44969416,0.17587829,0.2755084,0.23710985,0.10300132,0.35498506,0.3694141,0.20775445,0.30103612,0.13927922,0.3709365,0.55088633,0.18622868,0.124991305,0.48000085,0.16501859,0.22930373,0.43790317,0.4382414,0.26733923,0.20882009,0.20064157,0.29112
189,0.33607152,0.2991355,0.30639625,0.33383137,0.21559116,0.20937127,0.27883774,0.29739496,0.2833387,0.30830234,0.28524512,0.32676876,0.3091222,0.23817228,0.63705194,0.2397904,0.3174956,0.31166065,1.9328452e-06,0.3380395,0.7832375,0.24612787,0.32905594,0.49849623,0.2718579,0.3035179,0.25215062,0.19561617,0.5301939,0.378454,0.60611254,0.23234089,0.2791122,0.25009567,0.30576387,0.33011773,0.28093648,0.3588981,0.29683477,0.36190304,0.2686874,0.3532568,0.29789847,0.32291755,0.4620431,0.46025392,0.38575047,0.27519205,0.27902263,0.43650636,0.6457053,0.4189049,0.28431508,0.5089188,0.29110968,0.36783558,0.4202959,0.60298973,0.50793886,0.3396808,0.37666547,0.37168258
